img=rain-001.png,psnr=38.97710647,ssim=0.98200515 
img=rain-002.png,psnr=39.58850660,ssim=0.97253809 
img=rain-003.png,psnr=41.78488630,ssim=0.99602184 
img=rain-004.png,psnr=41.22303874,ssim=0.99546469 
img=rain-005.png,psnr=40.37358191,ssim=0.98218582 
img=rain-006.png,psnr=36.26998832,ssim=0.97877516 
img=rain-007.png,psnr=36.12790163,ssim=0.97234300 
img=rain-008.png,psnr=38.46659595,ssim=0.98022422 
img=rain-009.png,psnr=37.75832869,ssim=0.98400631 
img=rain-010.png,psnr=39.67797098,ssim=0.98902409 
img=rain-011.png,psnr=38.81067814,ssim=0.98329615 
img=rain-012.png,psnr=39.48007619,ssim=0.98624527 
img=rain-013.png,psnr=42.92987591,ssim=0.99070608 
img=rain-014.png,psnr=40.90124793,ssim=0.98676984 
img=rain-015.png,psnr=43.85819727,ssim=0.99101358 
img=rain-016.png,psnr=34.32172397,ssim=0.97793992 
img=rain-017.png,psnr=42.81707011,ssim=0.99164566 
img=rain-018.png,psnr=42.65162582,ssim=0.98621326 
img=rain-019.png,psnr=35.75873668,ssim=0.97725226 
img=rain-020.png,psnr=37.72728450,ssim=0.98306619 
img=rain-021.png,psnr=41.84864074,ssim=0.98787412 
img=rain-022.png,psnr=37.90522727,ssim=0.98614079 
img=rain-023.png,psnr=41.00811229,ssim=0.98831088 
img=rain-024.png,psnr=28.97251118,ssim=0.97458788 
img=rain-025.png,psnr=34.09987206,ssim=0.96957781 
img=rain-026.png,psnr=36.99077386,ssim=0.98844531 
img=rain-027.png,psnr=38.57346234,ssim=0.98709469 
img=rain-028.png,psnr=32.23440838,ssim=0.97613018 
img=rain-029.png,psnr=42.13260088,ssim=0.98821744 
img=rain-030.png,psnr=40.14280066,ssim=0.98671703 
img=rain-031.png,psnr=42.75680324,ssim=0.99391955 
img=rain-032.png,psnr=41.58337330,ssim=0.98825160 
img=rain-033.png,psnr=40.43068576,ssim=0.98831844 
img=rain-034.png,psnr=36.59185646,ssim=0.98199445 
img=rain-035.png,psnr=37.81065564,ssim=0.97447391 
img=rain-036.png,psnr=40.66861497,ssim=0.98688233 
img=rain-037.png,psnr=36.23099392,ssim=0.97946759 
img=rain-038.png,psnr=40.13535608,ssim=0.98942100 
img=rain-039.png,psnr=38.75566863,ssim=0.98843481 
img=rain-040.png,psnr=39.59673228,ssim=0.98657250 
img=rain-041.png,psnr=37.56241175,ssim=0.98445674 
img=rain-042.png,psnr=36.67793233,ssim=0.98159400 
img=rain-043.png,psnr=40.78501155,ssim=0.98974885 
img=rain-044.png,psnr=37.52776203,ssim=0.98896004 
img=rain-045.png,psnr=40.03346826,ssim=0.99275163 
img=rain-046.png,psnr=37.69841971,ssim=0.99039879 
img=rain-047.png,psnr=40.13040968,ssim=0.98626613 
img=rain-048.png,psnr=41.45976087,ssim=0.98593827 
img=rain-049.png,psnr=38.67925847,ssim=0.98466724 
img=rain-050.png,psnr=44.32505249,ssim=0.98937119 
img=rain-051.png,psnr=33.77178859,ssim=0.97625016 
img=rain-052.png,psnr=40.20352568,ssim=0.98094811 
img=rain-053.png,psnr=35.46009031,ssim=0.97253190 
img=rain-054.png,psnr=41.39783651,ssim=0.99179679 
img=rain-055.png,psnr=33.54833527,ssim=0.97648467 
img=rain-056.png,psnr=36.17074498,ssim=0.97744054 
img=rain-057.png,psnr=35.28785116,ssim=0.97495475 
img=rain-058.png,psnr=35.75499699,ssim=0.97696221 
img=rain-059.png,psnr=35.77673007,ssim=0.98016826 
img=rain-060.png,psnr=45.63215136,ssim=0.99383856 
img=rain-061.png,psnr=35.86277536,ssim=0.97107523 
img=rain-062.png,psnr=35.63088969,ssim=0.97638009 
img=rain-063.png,psnr=35.70599535,ssim=0.98487138 
img=rain-064.png,psnr=42.58325392,ssim=0.99079616 
img=rain-065.png,psnr=33.87172900,ssim=0.97624813 
img=rain-066.png,psnr=42.55103883,ssim=0.98717389 
img=rain-067.png,psnr=38.35257074,ssim=0.98677341 
img=rain-068.png,psnr=40.40263926,ssim=0.98900951 
img=rain-069.png,psnr=39.40722684,ssim=0.98815958 
img=rain-070.png,psnr=38.87223074,ssim=0.98826083 
img=rain-071.png,psnr=39.85076698,ssim=0.98540018 
img=rain-072.png,psnr=49.00125638,ssim=0.99584021 
img=rain-073.png,psnr=35.52313669,ssim=0.96940075 
img=rain-074.png,psnr=44.21426352,ssim=0.99521460 
img=rain-075.png,psnr=34.50872031,ssim=0.97573716 
img=rain-076.png,psnr=37.44968693,ssim=0.98231768 
img=rain-077.png,psnr=38.42271105,ssim=0.98764859 
img=rain-078.png,psnr=46.28969522,ssim=0.99054811 
img=rain-079.png,psnr=42.96905437,ssim=0.98600836 
img=rain-080.png,psnr=42.42302739,ssim=0.99041936 
img=rain-081.png,psnr=41.98489575,ssim=0.99479943 
img=rain-082.png,psnr=36.21289750,ssim=0.98452623 
img=rain-083.png,psnr=42.70815891,ssim=0.98627263 
img=rain-084.png,psnr=34.08699956,ssim=0.97942177 
img=rain-085.png,psnr=35.66070045,ssim=0.99297081 
img=rain-086.png,psnr=39.53465259,ssim=0.99049449 
img=rain-087.png,psnr=36.30519203,ssim=0.97693228 
img=rain-088.png,psnr=40.28078311,ssim=0.98695044 
img=rain-089.png,psnr=47.00602412,ssim=0.99163799 
img=rain-090.png,psnr=37.76918751,ssim=0.98450021 
img=rain-091.png,psnr=38.51379494,ssim=0.98299638 
img=rain-092.png,psnr=32.79617789,ssim=0.96935191 
img=rain-093.png,psnr=33.96669539,ssim=0.97612751 
img=rain-094.png,psnr=38.00377205,ssim=0.97440922 
img=rain-095.png,psnr=38.50745810,ssim=0.96276492 
img=rain-096.png,psnr=40.38512304,ssim=0.98613066 
img=rain-097.png,psnr=37.01214027,ssim=0.98429741 
img=rain-098.png,psnr=41.92810935,ssim=0.99039181 
img=rain-099.png,psnr=32.31359494,ssim=0.97472503 
img=rain-100.png,psnr=35.51716454,ssim=0.96967847 
avg_psnr:38.8024,avg_ssim:0.9839
